epoch,train_loss,val_loss,val_wer,fusion_alpha,learning_rate,epoch_seconds,is_best
1,8.325135074829646,7.999984494674702,1.0,1.0,5.555555555555556e-05,38595.75333786011,True
2,6.876075834942962,8.09863205124421,1.0,1.0,7.777777777777778e-05,47205.65196847916,False
3,6.830108599677069,8.344135024057511,1.0,1.0,0.0001,45029.24693465233,False
4,6.760118833571047,8.441702676751424,1.0,1.0,9.966529870822618e-05,29892.367767333984,False
5,6.721002164050206,8.119952448379497,0.992068013497524,1.0,9.866572109370128e-05,13328.839959859848,True
6,6.616497459104809,8.284752285946514,0.9797171947353813,1.0,9.701478472890247e-05,13992.485637903214,True
