epoch,train_loss,val_loss,val_wer,val_exact,gpu_memory_GB,learning_rate
46,3.745845456918081,5.517923165644918,1.0225213675213674,0.03076923076923077,0.18125104904174805,4.449495862648428e-05
47,3.3347626104950905,5.137220616243323,0.883315018315018,0.041025641025641026,0.18125104904174805,4.278517975607167e-05
49,3.900101689125101,5.180143771579071,0.9048595848595847,0.05128205128205128,0.18125104904174805,3.942473243151285e-05
50,3.360935788601637,5.325471178609497,0.8434493284493287,0.08717948717948718,0.18125104904174805,3.777924554357098e-05
51,3.1279066119343044,5.23107593126443,0.9167765567765569,0.05128205128205128,0.18125104904174805,3.6160311810815774e-05
52,2.930405373995503,5.7057456009242,0.9635286935286935,0.046153846153846156,0.18125104904174805,3.4570427511720424e-05
53,2.794939007734259,4.903389891799615,0.8655189255189253,0.06666666666666667,0.18125104904174805,3.301204413263705e-05
54,2.6516897812485696,4.973679239652594,0.8305250305250301,0.07692307692307693,0.18125104904174805,3.148756458778233e-05
55,2.6283028325686852,5.690294777860447,0.9347496947496948,0.07692307692307693,0.18125104904174805,2.999933951411792e-05
56,2.4705489167322714,4.840124543832273,0.8933516483516483,0.07179487179487179,0.18125104904174805,2.8549663646838737e-05
57,2.436133780454596,5.285612862329094,0.912918192918193,0.06153846153846154,0.18125104904174805,2.7140772281057505e-05
58,2.339312169825037,5.150899560475836,0.8908791208791207,0.06153846153846154,0.18125104904174805,2.5774837825141764e-05
59,2.2756095893681048,5.4253930096723595,0.9209035409035409,0.05641025641025641,0.18125104904174805,2.4453966451017655e-05
60,2.125942611818512,4.95240516626105,0.8780463980463983,0.06666666666666667,0.18125104904174805,2.3180194846605388e-05
61,2.1255799626310665,5.599023108579675,0.9647619047619045,0.06153846153846154,0.18125104904174805,2.1955487075394167e-05
